F01,Jamaica - 179 St,40.712645999999900,-73.783816999999900,,F,36081,Queens County,
F02,169 St,40.710470000000000,-73.793604000000000,,F,36081,Queens County,
F03,Parsons Blvd,40.707563999999900,-73.803325999999900,,F,36081,Queens County,
F04,Sutphin Blvd,40.705459999999900,-73.810707999999900,,F,36081,Queens County,
F05,Briarwood - Van Wyck Blvd,40.709178999999900,-73.820573999999900,,E F,36081,Queens County,
F06,Kew Gardens - Union Tpke,40.714441000000000,-73.831007999999900,,E F,36081,Queens County,
F07,75 Av,40.718330999999900,-73.837323999999900,,E F,36081,Queens County,
G08,Forest Hills - 71 Av,40.721691000000000,-73.844521000000000,,E F M R,36081,Queens County,
G14,Jackson Hts - Roosevelt Av,40.746644000000000,-73.891338000000000,,E F M R,36081,Queens County,
B04,21 St - Queensbridge,40.754203000000000,-73.942836000000000,,F,36081,Queens County,
B06,Roosevelt Island,40.759145000000000,-73.953260000000000,,F,36061,New York County,
B08,Lexington Av/63 St,40.764628999999900,-73.966113000000000,,F Q,36061,New York County,
B10,57 St,40.763971999999900,-73.977450000000000,,F,36061,New York County,
D15,47-50 Sts - Rockefeller Ctr,40.758662999999900,-73.981329000000000,,B D F M,36061,New York County,
D16,42 St - Bryant Pk,40.754221999999900,-73.984568999999900,,B D F M,36061,New York County,
D17,34 St - Herald Sq,40.749718999999900,-73.987822999999900,,B D F M,36061,New York County,
D18,23 St,40.742878000000000,-73.992820999999900,,F M,36061,New York County,
D19,14 St,40.738227999999900,-73.996208999999900,,F M,36061,New York County,
A32,W 4 St,40.732337999999900,-74.000495000000000,D20,A B C D E F M,36061,New York County,
D21,Broadway-Lafayette St,40.725296999999900,-73.996204000000000,,B D F M,36061,New York County,
F14,2 Av,40.723402000000000,-73.989937999999900,,F,36061,New York County,
F15,Delancey St,40.718610999999900,-73.988113999999900,,F,36061,New York County,
F16,East Broadway,40.713715000000000,-73.990172999999900,,F,36061,New York County,
F18,York St,40.701397000000000,-73.986750999999900,,F,36047,Kings County,
R29,Jay St - MetroTech,40.692180000000000,-73.985942000000000,,F R,36047,Kings County,
F20,Bergen St,40.686145000000000,-73.990861999999900,,F G,36047,Kings County,
F21,Carroll St,40.680303000000000,-73.995047999999900,,F G,36047,Kings County,
F22,Smith - 9 Sts,40.673580000000000,-73.995958999999900,,F G,36047,Kings County,
F23,4 Av,40.670271999999900,-73.989778999999900,,F G,36047,Kings County,
F24,7 Av,40.666271000000000,-73.980305000000000,,F G,36047,Kings County,
F25,15 St - Prospect Park,40.660365000000000,-73.979493000000000,,F G,36047,Kings County,
F26,Fort Hamilton Pkwy,40.650782000000000,-73.975775999999900,,F G,36047,Kings County,
F27,Church Av,40.644040999999900,-73.979678000000000,,F G,36047,Kings County,
F29,Ditmas Av,40.636119000000000,-73.978172000000000,,F,36047,Kings County,
F30,18 Av,40.629754999999900,-73.976970999999900,,F,36047,Kings County,
F31,Avenue I,40.625321999999900,-73.976127000000000,,F,36047,Kings County,
F32,Bay Pkwy,40.620769000000000,-73.975263999999900,,F,36047,Kings County,
F33,Avenue N,40.615140000000000,-73.974197000000000,,F,36047,Kings County,
F34,Avenue P,40.608944000000000,-73.973022000000000,,F,36047,Kings County,
F35,Kings Hwy,40.603217000000000,-73.972360999999900,,F,36047,Kings County,
F36,Avenue U,40.596063000000000,-73.973356999999900,,F,36047,Kings County,
F38,Avenue X,40.589620000000000,-73.974249999999900,,F,36047,Kings County,
F39,Neptune Av,40.581010999999900,-73.974574000000000,,F,36047,Kings County,
D42,W 8 St - NY Aquarium,40.576127000000000,-73.975938999999900,,F Q,36047,Kings County,
D43,Coney Island - Stillwell Av,40.577421999999900,-73.981232999999900,N12,D F N Q,36047,Kings County,


